No.,Reference,Study ID,Date,Year,Mean - Experiment,Mean - Control,SE - Experiment,SE - Control,Log RR Effect Size,SE Log RR Effect Size,Location,Years,Replication,Type of Response,Experiment Type,Natural,Type of Treatment,Treat Score,Exclosure?,E ,% Change in #,Prey origin,Prey type(s),Pred. origin,Predator type,Prey Gen Time,Pred Max Range,Mult Pred,Predator Diversity,Prey Diversity,Harvested?,Near K?,Prey Mass,Pred Mass,Predator-prey Ratio,Spatial Scale (km2),Temporal Scale (months),Sample Size - Experiment Plots,Sample Size - Control Plots,Sample Size - experimental years,Sample size - control years,K,Other Notes
51,Gasaway et al. 1983. Wildl. Monogr.,40,1971,2,0.44,0.13,NA,NA,1.219240276,NA,"Central Alaska, USA",1971-1979,u,recruitment,BA,No,"aerial shooting, harvest, trapping",3,Open,High,52.5,native,moose,native,wolf,124,6200,0,3,3,Yes,No,454,52,0.114537445,17060,36,1,1,4,4,3965,
51,Gasaway et al. 1983. Wildl. Monogr.,40,1971,3,0.5,0.05,NA,NA,2.302585093,NA,"Central Alaska, USA",1971-1979,u,recruitment,BA,No,"aerial shooting, harvest, trapping",3,Open,High,52.5,native,moose,native,wolf,124,6200,0,3,3,Yes,No,454,52,0.114537445,17060,36,1,1,4,4,3965,
51,Gasaway et al. 1983. Wildl. Monogr.,40,1971,4,0.52,0.1,NA,NA,1.648658626,NA,"Central Alaska, USA",1971-1979,u,recruitment,BA,No,"aerial shooting, harvest, trapping",3,Open,High,52.5,native,moose,native,wolf,124,6200,0,3,3,Yes,No,454,52,0.114537445,17060,36,1,1,4,4,3965,
52,Gasaway et al. 1983. Wildl. Monogr.,40,1971,1,0.458,0.1785,NA,NA,0.942280583,NA,"Central Alaska, USA",1971-1979,u,calf-cow ratios,BACI,No,"aerial shooting, harvest, trapping",3,Open,High,53.5,native,caribou,native,wolf,89,6200,0,3,3,Yes,No,170,52,0.305882353,17060,36,1,2,4,4,3965,
52,Gasaway et al. 1983. Wildl. Monogr.,40,1971,2,0.428,0.248,NA,NA,0.545694449,NA,"Central Alaska, USA",1971-1979,u,calf-cow ratios,BACI,No,"aerial shooting, harvest, trapping",3,Open,High,53.5,native,caribou,native,wolf,89,6200,0,3,3,Yes,No,170,52,0.305882353,17060,36,1,2,4,4,3965,
52,Gasaway et al. 1983. Wildl. Monogr.,40,1971,3,0.4,0.2915,NA,NA,0.316424541,NA,"Central Alaska, USA",1971-1979,u,calf-cow ratios,BACI,No,"aerial shooting, harvest, trapping",3,Open,High,53.5,native,caribou,native,wolf,89,6200,0,3,3,Yes,No,170,52,0.305882353,17060,36,1,2,4,4,3965,
52,Gasaway et al. 1983. Wildl. Monogr.,40,1971,4,0.657,0.22,NA,NA,1.094056472,NA,"Central Alaska, USA",1971-1979,u,calf-cow ratios,BACI,No,"aerial shooting, harvest, trapping",3,Open,High,53.5,native,caribou,native,wolf,89,6200,0,3,3,Yes,No,170,52,0.305882353,17060,36,1,2,4,4,3965,
53,Gasaway et al. 1983. Wildl. Monogr.,40,1971,1,0.365,0.336,NA,NA,0.082786194,NA,"Central Alaska, USA",1971-1979,u,calf-cow ratios,BACI,No,"aerial shooting, harvest, trapping",3,Open,High,53.5,native,dall sheep,native,wolf,78,6200,0,3,3,Yes,No,68,52,0.764705882,17060,36,1,1,4,4,3965,
53,Gasaway et al. 1983. Wildl. Monogr.,40,1971,2,0.576,0.505,NA,NA,0.131549231,NA,"Central Alaska, USA",1971-1979,u,calf-cow ratios,BACI,No,"aerial shooting, harvest, trapping",3,Open,High,53.5,native,dall sheep,native,wolf,78,6200,0,3,3,Yes,No,68,52,0.764705882,17060,36,1,1,4,4,3965,
53,Gasaway et al. 1983. Wildl. Monogr.,40,1971,3,0.416,0.561,NA,NA,-0.299035645,NA,"Central Alaska, USA",1971-1979,u,calf-cow ratios,BACI,No,"aerial shooting, harvest, trapping",3,Open,High,53.5,native,dall sheep,native,wolf,78,6200,0,3,3,Yes,No,68,52,0.764705882,17060,36,1,1,4,4,3965,
53,Gasaway et al. 1983. Wildl. Monogr.,40,1971,4,0.65,0.653,NA,NA,-0.004604766,NA,"Central Alaska, USA",1971-1979,u,calf-cow ratios,BACI,No,"aerial shooting, harvest, trapping",3,Open,High,53.5,native,dall sheep,native,wolf,78,6200,0,3,3,Yes,No,68,52,0.764705882,17060,36,1,1,4,4,3965,
53,Gasaway et al. 1983. Wildl. Monogr.,40,1971,1,0.161,0.19,NA,NA,-0.165619707,NA,"Central Alaska, USA",1971-1979,u,recruitment,BACI,No,"aerial shooting, harvest, trapping",3,Open,High,53.5,native,dall sheep,native,wolf,78,6200,0,3,3,Yes,No,68,52,0.764705882,17060,36,1,1,4,4,3965,
53,Gasaway et al. 1983. Wildl. Monogr.,40,1971,2,0.249,0.23,NA,NA,0.079373588,NA,"Central Alaska, USA",1971-1979,u,recruitment,BACI,No,"aerial shooting, harvest, trapping",3,Open,High,53.5,native,dall sheep,native,wolf,78,6200,0,3,3,Yes,No,68,52,0.764705882,17060,36,1,1,4,4,3965,
53,Gasaway et al. 1983. Wildl. Monogr.,40,1971,3,0.184,0.23,NA,NA,-0.223143551,NA,"Central Alaska, USA",1971-1979,u,recruitment,BACI,No,"aerial shooting, harvest, trapping",3,Open,High,53.5,native,dall sheep,native,wolf,78,6200,0,3,3,Yes,No,68,52,0.764705882,17060,36,1,1,4,4,3965,
53,Gasaway et al. 1983. Wildl. Monogr.,40,1971,4,0.345,0.383,NA,NA,-0.104490572,NA,"Central Alaska, USA",1971-1979,u,recruitment,BACI,No,"aerial shooting, harvest, trapping",3,Open,High,53.5,native,dall sheep,native,wolf,78,6200,0,3,3,Yes,No,68,52,0.764705882,17060,36,1,1,4,4,3965,
54,Logan et al. 1996. Fed Report,41,1985,1,216,242,NA,NA,-0.113659318,NA,"Southcentral New Mexico, USA",1985-1995,u,abundance,BA,No,trapping,2,Open,High,55,native,mule deer,native,mountain lion,90,1000,0,4,3,No,NA,96.4,64.4,0.668049793,703,7,1,1,4,4,2625,
54,Logan et al. 1996. Fed Report,41,1985,2,187,244,NA,NA,-0.266059608,NA,"Southcentral New Mexico, USA",1985-1995,u,abundance,BA,No,trapping,2,Open,High,55,native,mule deer,native,mountain lion,90,1000,0,4,3,No,NA,96.4,64.4,0.668049793,703,7,1,1,4,4,2625,
54,Logan et al. 1996. Fed Report,41,1985,3,312,192,NA,NA,0.485507816,NA,"Southcentral New Mexico, USA",1985-1995,u,abundance,BA,No,trapping,2,Open,High,55,native,mule deer,native,mountain lion,90,1000,0,4,3,No,NA,96.4,64.4,0.668049793,703,7,1,1,4,4,2625,
54,Logan et al. 1996. Fed Report,41,1985,4,318,277,NA,NA,0.138033877,NA,"Southcentral New Mexico, USA",1985-1995,u,abundance,BA,No,trapping,2,Open,High,55,native,mule deer,native,mountain lion,90,1000,0,4,3,No,NA,96.4,64.4,0.668049793,703,7,1,1,4,4,2625,
54,Logan et al. 1996. Fed Report,41,1985,1,0.865,0.925,0.031622777,0.04472136,-0.067064231,0.084905539,"Southcentral New Mexico, USA",1985-1995,u,adult survival,BA,No,trapping,2,Open,High,55,native,mule deer,native,mountain lion,90,1000,0,4,3,No,NA,96.4,64.4,0.668049793,703,7,1,1,4,4,2625,
54,Logan et al. 1996. Fed Report,41,1985,2,0.748,0.873,0.04472136,0.04472136,-0.154532578,0.11101513,"Southcentral New Mexico, USA",1985-1995,u,adult survival,BA,No,trapping,2,Open,High,55,native,mule deer,native,mountain lion,90,1000,0,4,3,No,NA,96.4,64.4,0.668049793,703,7,1,1,4,4,2625,
54,Logan et al. 1996. Fed Report,41,1985,3,0.726,0.839,0.054772256,0.04472136,-0.144660692,0.128747048,"Southcentral New Mexico, USA",1985-1995,u,adult survival,BA,No,trapping,2,Open,High,55,native,mule deer,native,mountain lion,90,1000,0,4,3,No,NA,96.4,64.4,0.668049793,703,7,1,1,4,4,2625,
54,Logan et al. 1996. Fed Report,41,1985,4,0.537,0.876,0.077459667,0.04472136,-0.489367996,0.19529697,"Southcentral New Mexico, USA",1985-1995,u,adult survival,BA,No,trapping,2,Open,High,55,native,mule deer,native,mountain lion,90,1000,0,4,3,No,NA,96.4,64.4,0.668049793,703,7,1,1,4,4,2625,
54,Logan et al. 1996. Fed Report,41,1985,1,0.41,0.51,NA,NA,-0.218253566,NA,"Southcentral New Mexico, USA",1985-1995,u,calf-cow ratios,BA,No,trapping,2,Open,High,55,native,mule deer,native,mountain lion,90,1000,0,4,3,No,NA,96.4,64.4,0.668049793,703,7,1,1,4,4,2625,
54,Logan et al. 1996. Fed Report,41,1985,2,0.37,0.52,NA,NA,-0.340325806,NA,"Southcentral New Mexico, USA",1985-1995,u,calf-cow ratios,BA,No,trapping,2,Open,High,55,native,mule deer,native,mountain lion,90,1000,0,4,3,No,NA,96.4,64.4,0.668049793,703,7,1,1,4,4,2625,
54,Logan et al. 1996. Fed Report,41,1985,3,0.27,0.41,NA,NA,-0.417735201,NA,"Southcentral New Mexico, USA",1985-1995,u,calf-cow ratios,BA,No,trapping,2,Open,High,55,native,mule deer,native,mountain lion,90,1000,0,4,3,No,NA,96.4,64.4,0.668049793,703,7,1,1,4,4,2625,
54,Logan et al. 1996. Fed Report,41,1985,4,0.07,0.36,NA,NA,-1.637608789,NA,"Southcentral New Mexico, USA",1985-1995,u,calf-cow ratios,BA,No,trapping,2,Open,High,55,native,mule deer,native,mountain lion,90,1000,0,4,3,No,NA,96.4,64.4,0.668049793,703,7,1,1,4,4,2625,
55,Logan et al. 1996. Fed Report,41,1985,1,22,37,NA,NA,-0.519875459,NA,"Southcentral New Mexico, USA",1985-1995,u,abundance,BA,No,trapping,2,Open,High,55,native,bighorn sheep,native,mountain lion,87,1000,0,4,3,No,No,68,64.4,0.947058824,703,7,1,1,4,4,2625,
55,Logan et al. 1996. Fed Report,41,1985,2,31,34,NA,NA,-0.09237332,NA,"Southcentral New Mexico, USA",1985-1995,u,abundance,BA,No,trapping,2,Open,High,55,native,bighorn sheep,native,mountain lion,87,1000,0,4,3,No,No,68,64.4,0.947058824,703,7,1,1,4,4,2625,
55,Logan et al. 1996. Fed Report,41,1985,3,30,34,NA,NA,-0.125163143,NA,"Southcentral New Mexico, USA",1985-1995,u,abundance,BA,No,trapping,2,Open,High,55,native,bighorn sheep,native,mountain lion,87,1000,0,4,3,No,No,68,64.4,0.947058824,703,7,1,1,4,4,2625,
55,Logan et al. 1996. Fed Report,41,1985,4,34,22,NA,NA,0.435318071,NA,"Southcentral New Mexico, USA",1985-1995,u,abundance,BA,No,trapping,2,Open,High,55,native,bighorn sheep,native,mountain lion,87,1000,0,4,3,No,No,68,64.4,0.947058824,703,7,1,1,4,4,2625,
55,Logan et al. 1996. Fed Report,41,1985,1,1,0.74,0,0.109544512,0.301105093,0.148033124,"Southcentral New Mexico, USA",1985-1995,u,adult survival,BA,No,trapping,2,Open,High,55,native,bighorn sheep,native,mountain lion,87,1000,0,4,3,No,No,68,64.4,0.947058824,703,7,1,1,4,4,2625,
55,Logan et al. 1996. Fed Report,41,1985,2,0.639,0.716,0.164316767,0.137840488,-0.113775713,0.449661388,"Southcentral New Mexico, USA",1985-1995,u,adult survival,BA,No,trapping,2,Open,High,55,native,bighorn sheep,native,mountain lion,87,1000,0,4,3,No,No,68,64.4,0.947058824,703,7,1,1,4,4,2625,
55,Logan et al. 1996. Fed Report,41,1985,3,1,0.735,0,0.130384048,0.30788478,0.177393263,"Southcentral New Mexico, USA",1985-1995,u,adult survival,BA,No,trapping,2,Open,High,55,native,bighorn sheep,native,mountain lion,87,1000,0,4,3,No,No,68,64.4,0.947058824,703,7,1,1,4,4,2625,
55,Logan et al. 1996. Fed Report,41,1985,4,0.903,0.91,0.09486833,0.083666003,-0.007722046,0.196999721,"Southcentral New Mexico, USA",1985-1995,u,adult survival,BA,No,trapping,2,Open,High,55,native,bighorn sheep,native,mountain lion,87,1000,0,4,3,No,No,68,64.4,0.947058824,703,7,1,1,4,4,2625,
55,Logan et al. 1996. Fed Report,41,1985,1,0.6,0.692307692,NA,NA,-0.143100844,NA,"Southcentral New Mexico, USA",1985-1995,u,calf-cow ratios,BA,No,trapping,2,Open,High,55,native,bighorn sheep,native,mountain lion,87,1000,0,4,3,No,No,68,64.4,0.947058824,703,7,1,1,4,4,2625,
55,Logan et al. 1996. Fed Report,41,1985,2,0.692307692,0.454545455,NA,NA,0.42073258,NA,"Southcentral New Mexico, USA",1985-1995,u,calf-cow ratios,BA,No,trapping,2,Open,High,55,native,bighorn sheep,native,mountain lion,87,1000,0,4,3,No,No,68,64.4,0.947058824,703,7,1,1,4,4,2625,
55,Logan et al. 1996. Fed Report,41,1985,3,0.454545455,0.266666667,NA,NA,0.53329848,NA,"Southcentral New Mexico, USA",1985-1995,u,calf-cow ratios,BA,No,trapping,2,Open,High,55,native,bighorn sheep,native,mountain lion,87,1000,0,4,3,No,No,68,64.4,0.947058824,703,7,1,1,4,4,2625,
55,Logan et al. 1996. Fed Report,41,1985,4,0.666666667,0.333333333,NA,NA,0.693147181,NA,"Southcentral New Mexico, USA",1985-1995,u,calf-cow ratios,BA,No,trapping,2,Open,High,55,native,bighorn sheep,native,mountain lion,87,1000,0,4,3,No,No,68,64.4,0.947058824,703,7,1,1,4,4,2625,
56,Hegel et al. 2010. Oikos,42,1983,1,0.423,0.172,NA,NA,0.899877702,NA,"Eastcentral Yukon, Canada",1983-1989,u,calf-cow ratios,BA,No,aerial shooting,3,Open,High,80,native,caribou,native,wolf,89,6200,0,3,3,Yes,No,170,52,0.305882353,23000,72,1,1,6,6,3989,matched up before and after
56,Hegel et al. 2010. Oikos,42,1983,2,0.499,0.344,NA,NA,0.371964438,NA,"Eastcentral Yukon, Canada",1983-1989,u,calf-cow ratios,BA,No,aerial shooting,3,Open,High,80,native,caribou,native,wolf,89,6200,0,3,3,Yes,No,170,52,0.305882353,23000,72,1,1,6,6,3989,
56,Hegel et al. 2010. Oikos,42,1983,3,0.455,0.439,NA,NA,0.035798006,NA,"Eastcentral Yukon, Canada",1983-1989,u,calf-cow ratios,BA,No,aerial shooting,3,Open,High,80,native,caribou,native,wolf,89,6200,0,3,3,Yes,No,170,52,0.305882353,23000,72,1,1,6,6,3989,
56,Hegel et al. 2010. Oikos,42,1983,4,0.545,0.319,NA,NA,0.535594692,NA,"Eastcentral Yukon, Canada",1983-1989,u,calf-cow ratios,BA,No,aerial shooting,3,Open,High,80,native,caribou,native,wolf,89,6200,0,3,3,Yes,No,170,52,0.305882353,23000,72,1,1,6,6,3989,
56,Hegel et al. 2010. Oikos,42,1983,5,0.469,0.21,NA,NA,0.803495238,NA,"Eastcentral Yukon, Canada",1983-1989,u,calf-cow ratios,BA,No,aerial shooting,3,Open,High,80,native,caribou,native,wolf,89,6200,0,3,3,Yes,No,170,52,0.305882353,23000,72,1,1,6,6,3989,
56,Hegel et al. 2010. Oikos,42,1983,6,0.614,0.303,NA,NA,0.706262123,NA,"Eastcentral Yukon, Canada",1983-1989,u,calf-cow ratios,BA,No,aerial shooting,3,Open,High,80,native,caribou,native,wolf,89,6200,0,3,3,Yes,No,170,52,0.305882353,23000,72,1,1,6,6,3989,
57,Hayes et al. 1991. Yukon Gov. Report; NRC 1997,43,1982,1,717,594.5,72.95918367,69.3877551,0.187355124,0.21847234,"Southwest Yukon, Canada",1982-1987,u,abundance,BA,No,"aerial shooting, harvest",3,Open,High,66,native,moose,native,"wolf, brown bear",124,6200,1,3,4,Yes,No,454,127,0.279735683,4073.333333,60,1,1,5,5,4452,"COST 1,375,000 CAN)"
57,Hayes et al. 1991. Yukon Gov. Report; NRC 1997,43,1982,1,0.92,0.88,NA,NA,0.044451763,NA,"Southwest Yukon, Canada",1982-1987,u,adult survival,BA,No,"aerial shooting, harvest",3,Open,High,66,native,moose,native,"wolf, brown bear",124,6200,1,3,4,Yes,No,454,127,0.279735683,4073.333333,60,1,1,5,5,4452,
57,Hayes et al. 1991. Yukon Gov. Report; NRC 1997,43,1982,1,0.31,0.21,NA,NA,0.389464767,NA,"Southwest Yukon, Canada",1982-1987,u,calf survival,BA,No,"aerial shooting, harvest",3,Open,High,66,native,moose,native,"wolf, brown bear",124,6200,1,3,4,Yes,No,454,127,0.279735683,4073.333333,60,1,1,5,5,4452,
57,Hayes et al. 1991. Yukon Gov. Report; NRC 1997,43,1982,1,0.22,0.238,NA,NA,-0.078643127,NA,"Southwest Yukon, Canada",1982-1987,u,calf-cow ratios,BA,No,"aerial shooting, harvest",3,Open,High,66,native,moose,native,"wolf, brown bear",124,6200,1,3,4,Yes,No,454,127,0.279735683,4073.333333,60,1,1,5,5,4452,
58,Crete & Jolicoeur. 1987. Alces,44,1981,1,3.7,4.4,0.8,0.9,-0.173271721,0.420761671,"Quebec, Canada",1981-1986,u,density,SEC,No,"aerial shooting, trapping",3,Open,Low,47.6,native,moose,native,wolf,124,6200,0,2,2,Yes,No,454,52,0.114537445,2150,48,1,1,5,5,11485.5,
58,Crete & Jolicoeur. 1987. Alces,44,1981,2,4.1,4.9,0.5,0.8,-0.178248231,0.285216526,"Quebec, Canada",1981-1986,u,density,SEC,No,"aerial shooting, trapping",3,Open,Low,47.6,native,moose,native,wolf,124,6200,0,2,2,Yes,No,454,52,0.114537445,2150,48,1,1,5,5,11485.5,
58,Crete & Jolicoeur. 1987. Alces,44,1981,3,4.3,5.6,0.6,1.4,-0.264151575,0.389534884,"Quebec, Canada",1981-1986,u,density,SEC,No,"aerial shooting, trapping",3,Open,Low,47.6,native,moose,native,wolf,124,6200,0,2,2,Yes,No,454,52,0.114537445,2150,48,1,1,5,5,11485.5,
58,Crete & Jolicoeur. 1987. Alces,44,1981,4,6.2,5.4,0.9,0.6,0.138150338,0.256272401,"Quebec, Canada",1981-1986,u,density,SEC,No,"aerial shooting, trapping",3,Open,Low,47.6,native,moose,native,wolf,124,6200,0,2,2,Yes,No,454,52,0.114537445,2150,48,1,1,5,5,11485.5,
58,Crete & Jolicoeur. 1987. Alces,44,1981,5,5,4,0.8,0.6,0.223143551,0.31,"Quebec, Canada",1981-1986,u,density,SEC,No,"aerial shooting, trapping",3,Open,Low,47.6,native,moose,native,wolf,124,6200,0,2,2,Yes,No,454,52,0.114537445,2150,48,1,1,5,5,11485.5,
58,Crete & Jolicoeur. 1987. Alces,44,1981,1,0.58,0.65,NA,NA,-0.113944259,NA,"Quebec, Canada",1981-1986,u,calf survival,SEC,No,"aerial shooting, trapping",3,Open,Low,47.6,native,moose,native,wolf,124,6200,0,2,2,Yes,No,454,52,0.114537445,2150,48,1,1,5,5,11485.5,
58,Crete & Jolicoeur. 1987. Alces,44,1981,1,0.52,0.24,0.15,0.07,0.773189888,0.580128205,"Quebec, Canada",1981-1986,u,calf-cow ratios,SEC,No,"aerial shooting, trapping",3,Open,Low,47.6,native,moose,native,wolf,124,6200,0,2,2,Yes,No,454,52,0.114537445,2150,48,1,1,5,5,11485.5,
58,Crete & Jolicoeur. 1987. Alces,44,1981,2,0.68,0.45,0.18,0.11,0.412845215,0.509150327,"Quebec, Canada",1981-1986,u,calf-cow ratios,SEC,No,"aerial shooting, trapping",3,Open,Low,47.6,native,moose,native,wolf,124,6200,0,2,2,Yes,No,454,52,0.114537445,2150,48,1,1,5,5,11485.5,
58,Crete & Jolicoeur. 1987. Alces,44,1981,3,0.32,0.3,0.09,0.07,0.064538521,0.514583333,"Quebec, Canada",1981-1986,u,calf-cow ratios,SEC,No,"aerial shooting, trapping",3,Open,Low,47.6,native,moose,native,wolf,124,6200,0,2,2,Yes,No,454,52,0.114537445,2150,48,1,1,5,5,11485.5,
58,Crete & Jolicoeur. 1987. Alces,44,1981,4,0.4,0.18,0.09,0.05,0.798507696,0.502777778,"Quebec, Canada",1981-1986,u,calf-cow ratios,SEC,No,"aerial shooting, trapping",3,Open,Low,47.6,native,moose,native,wolf,124,6200,0,2,2,Yes,No,454,52,0.114537445,2150,48,1,1,5,5,11485.5,
58,Crete & Jolicoeur. 1987. Alces,44,1981,5,0.19,0.25,0.04,0.05,-0.274436846,0.410526316,"Quebec, Canada",1981-1986,u,calf-cow ratios,SEC,No,"aerial shooting, trapping",3,Open,Low,47.6,native,moose,native,wolf,124,6200,0,2,2,Yes,No,454,52,0.114537445,2150,48,1,1,5,5,11485.5,
59,Crete & Jolicoeur. 1987. Alces,44,1981,1,2.6,5.6,0.4,1.4,-0.767255153,0.403846154,"Quebec, Canada",1981-1986,u,density,SEC,No,"trapping, ground shooting",2,Open,Low,NA,native,moose,native,black bear,124,150,0,2,2,Yes,No,454,170,0.374449339,360,36,1,1,3,3,11485.5,
59,Crete & Jolicoeur. 1987. Alces,44,1981,2,3.2,5.4,0.1,0.6,-0.523248144,0.142361111,"Quebec, Canada",1981-1986,u,density,SEC,No,"trapping, ground shooting",2,Open,Low,NA,native,moose,native,black bear,124,150,0,2,2,Yes,No,454,170,0.374449339,360,36,1,1,3,3,11485.5,
59,Crete & Jolicoeur. 1987. Alces,44,1981,3,3,4,0.1,0.6,-0.287682072,0.183333333,"Quebec, Canada",1981-1986,u,density,SEC,No,"trapping, ground shooting",2,Open,Low,NA,native,moose,native,black bear,124,150,0,2,2,Yes,No,454,170,0.374449339,360,36,1,1,3,3,11485.5,
59,Crete & Jolicoeur. 1987. Alces,44,1981,1,0.46,0.65,NA,NA,-0.345745873,NA,"Quebec, Canada",1981-1986,u,calf survival,SEC,No,"trapping, ground shooting",2,Open,Low,NA,native,moose,native,black bear,124,150,0,2,2,Yes,No,454,170,0.374449339,360,36,1,1,3,3,11485.5,
59,Crete & Jolicoeur. 1987. Alces,44,1981,1,0.58,0.3,0.16,0.07,0.659245629,0.509195402,"Quebec, Canada",1981-1986,u,calf-cow ratios,SEC,No,"trapping, ground shooting",2,Open,Low,NA,native,moose,native,black bear,124,150,0,2,2,Yes,No,454,170,0.374449339,360,36,1,1,3,3,11485.5,
59,Crete & Jolicoeur. 1987. Alces,44,1981,2,0.22,0.18,0.04,0.05,0.200670695,0.45959596,"Quebec, Canada",1981-1986,u,calf-cow ratios,SEC,No,"trapping, ground shooting",2,Open,Low,NA,native,moose,native,black bear,124,150,0,2,2,Yes,No,454,170,0.374449339,360,36,1,1,3,3,11485.5,
59,Crete & Jolicoeur. 1987. Alces,44,1981,3,0.62,0.25,0.09,0.05,0.90825856,0.34516129,"Quebec, Canada",1981-1986,u,calf-cow ratios,SEC,No,"trapping, ground shooting",2,Open,Low,NA,native,moose,native,black bear,124,150,0,2,2,Yes,No,454,170,0.374449339,360,36,1,1,3,3,11485.5,
60,Ballard et al.. 1991. Wildl. Monogr.; Ballard 1991. Trans. NA Wildl. Conf.,45,1976,1,35.41,37.9,NA,NA,-0.067956846,NA,"Southcentral Alaska, USA",1976-1978,u,density,BA,No,aerial shooting,3,Open,High,50,native,moose,native,wolf,124,6200,0,3,3,Yes,No,454,52,0.114537445,7262,36,1,1,3,3,4376,
60,Ballard et al.. 1991. Wildl. Monogr.; Ballard 1991. Trans. NA Wildl. Conf.,45,1976,2,53.33,41.25,NA,NA,0.256847912,NA,"Southcentral Alaska, USA",1976-1978,u,density,BA,No,aerial shooting,3,Open,High,50,native,moose,native,wolf,124,6200,0,3,3,Yes,No,454,52,0.114537445,7262,36,1,1,3,3,4376,
60,Ballard et al.. 1991. Wildl. Monogr.; Ballard 1991. Trans. NA Wildl. Conf.,45,1976,3,52.08,31.25,NA,NA,0.510761622,NA,"Southcentral Alaska, USA",1976-1978,u,density,BA,No,aerial shooting,3,Open,High,50,native,moose,native,wolf,124,6200,0,3,3,Yes,No,454,52,0.114537445,7262,36,1,1,3,3,4376,
60,Ballard et al.. 1991. Wildl. Monogr.; Ballard 1991. Trans. NA Wildl. Conf.,45,1976,1,0.236,0.182,NA,NA,0.259825118,NA,"Southcentral Alaska, USA",1976-1978,u,calf-cow ratios,BA,No,aerial shooting,3,Open,High,50,native,moose,native,wolf,124,6200,0,3,3,Yes,No,454,52,0.114537445,7262,36,1,1,3,3,4376,
60,Ballard et al.. 1991. Wildl. Monogr.; Ballard 1991. Trans. NA Wildl. Conf.,45,1976,2,0.298,0.31,NA,NA,-0.039478811,NA,"Southcentral Alaska, USA",1976-1978,u,calf-cow ratios,BA,No,aerial shooting,3,Open,High,50,native,moose,native,wolf,124,6200,0,3,3,Yes,No,454,52,0.114537445,7262,36,1,1,3,3,4376,
60,Ballard et al.. 1991. Wildl. Monogr.; Ballard 1991. Trans. NA Wildl. Conf.,45,1976,3,0.239,0.164,NA,NA,0.376597124,NA,"Southcentral Alaska, USA",1976-1978,u,calf-cow ratios,BA,No,aerial shooting,3,Open,High,50,native,moose,native,wolf,124,6200,0,3,3,Yes,No,454,52,0.114537445,7262,36,1,1,3,3,4376,
61,Ballard & Miller. 1990. Alces,46,1979,1,0.58,0.2105,NA,NA,1.01354245,NA,"Southcentral Alaska, USA",1979,u,calf-cow ratios,SEC,No,translocations,1,Open,High,60,native,moose,native,brown bear,124,120,0,3,3,Yes,No,454,202,0.444933921,3346,2,1,2,1,1,4376,
61,Ballard & Miller. 1990. Alces,46,1979,2,0.402,0.2635,NA,NA,0.422398721,NA,"Southcentral Alaska, USA",1979,u,calf-cow ratios,SEC,No,translocations,1,Open,High,60,native,moose,native,brown bear,124,120,0,3,3,Yes,No,454,202,0.444933921,3346,2,1,2,1,1,4376,
61,Ballard & Miller. 1990. Alces,46,1979,3,0.348,0.345,NA,NA,0.008658063,NA,"Southcentral Alaska, USA",1979,u,calf-cow ratios,SEC,No,translocations,1,Open,High,60,native,moose,native,brown bear,124,120,0,3,3,Yes,No,454,202,0.444933921,3346,2,1,2,1,1,4376,
61,Ballard & Miller. 1990. Alces,46,1979,4,0.364,0.3155,NA,NA,0.142995186,NA,"Southcentral Alaska, USA",1979,u,calf-cow ratios,SEC,No,translocations,1,Open,High,60,native,moose,native,brown bear,124,120,0,3,3,Yes,No,454,202,0.444933921,3346,2,1,2,1,1,4376,
62,Miller & Ballard. 1992. Wildl. Soc. Bull.,47,1980,1,0.342,0.421,NA,NA,-0.207822097,NA,"Southcentral Alaska, USA",1980-1990,u,calf-cow ratios,BA,No,harvest,1,Open,Low,36,native,moose,native,brown bear,124,120,0,3,3,Yes,No,454,202,0.444933921,896,120,1,1,10,10,4376,
62,Miller & Ballard. 1992. Wildl. Soc. Bull.,47,1980,2,0.366,0.142,NA,NA,0.946806276,NA,"Southcentral Alaska, USA",1980-1991,u,calf-cow ratios,BA,No,harvest,1,Open,Low,37,native,moose,native,brown bear,124,120,0,3,3,Yes,No,454,202,0.444933921,897,120,1,1,10,10,4376,
62,Miller & Ballard. 1992. Wildl. Soc. Bull.,47,1980,3,0.362,0.27,NA,NA,0.293222253,NA,"Southcentral Alaska, USA",1980-1992,u,calf-cow ratios,BA,No,harvest,1,Open,Low,38,native,moose,native,brown bear,124,120,0,3,3,Yes,No,454,202,0.444933921,898,120,1,1,10,10,4376,
62,Miller & Ballard. 1992. Wildl. Soc. Bull.,47,1980,4,0.462,0.386,NA,NA,0.179727522,NA,"Southcentral Alaska, USA",1980-1993,u,calf-cow ratios,BA,No,harvest,1,Open,Low,39,native,moose,native,brown bear,124,120,0,3,3,Yes,No,454,202,0.444933921,899,120,1,1,10,10,4376,
62,Miller & Ballard. 1992. Wildl. Soc. Bull.,47,1980,5,0.285,0.157,NA,NA,0.596243375,NA,"Southcentral Alaska, USA",1980-1994,u,calf-cow ratios,BA,No,harvest,1,Open,Low,40,native,moose,native,brown bear,124,120,0,3,3,Yes,No,454,202,0.444933921,900,120,1,1,10,10,4376,
